age,lambda_final,lambda_init,delta_lambda,lambda_stage1_adult_extrapolated,z_P,note
15.600000000000001,-0.955125230550766,-1.616810917854309,0.661685687303543,-1.3785262492003674,0.7333333333333335,lambda0/beta are single scalars shared across heads (not per-head)
15.700000000000001,-0.9540989905595779,-1.616810917854309,0.6627119272947312,-1.379025420934154,0.7444444444444446,lambda0/beta are single scalars shared across heads (not per-head)
15.8,-0.9530727505683899,-1.616810917854309,0.6637381672859192,-1.3795245926679405,0.7555555555555556,lambda0/beta are single scalars shared across heads (not per-head)
15.9,-0.9520465105772018,-1.616810917854309,0.6647644072771073,-1.380023764401727,0.7666666666666667,lambda0/beta are single scalars shared across heads (not per-head)
16.0,-0.9510202705860138,-1.616810917854309,0.6657906472682953,-1.3805229361355136,0.7777777777777778,lambda0/beta are single scalars shared across heads (not per-head)
16.1,-0.9499940305948258,-1.616810917854309,0.6668168872594833,-1.3810221078693001,0.7888888888888891,lambda0/beta are single scalars shared across heads (not per-head)
16.2,-0.9489677906036377,-1.616810917854309,0.6678431272506714,-1.3815212796030867,0.7999999999999999,lambda0/beta are single scalars shared across heads (not per-head)
16.3,-0.9479415506124497,-1.616810917854309,0.6688693672418594,-1.3820204513368732,0.8111111111111112,lambda0/beta are single scalars shared across heads (not per-head)
16.400000000000002,-0.9469153106212616,-1.616810917854309,0.6698956072330475,-1.3825196230706598,0.8222222222222224,lambda0/beta are single scalars shared across heads (not per-head)
16.5,-0.9458890706300735,-1.616810917854309,0.6709218472242355,-1.3830187948044463,0.8333333333333334,lambda0/beta are single scalars shared across heads (not per-head)
16.6,-0.9448628306388855,-1.616810917854309,0.6719480872154235,-1.383517966538233,0.8444444444444446,lambda0/beta are single scalars shared across heads (not per-head)
16.7,-0.9438365906476974,-1.616810917854309,0.6729743272066117,-1.3840171382720194,0.8555555555555555,lambda0/beta are single scalars shared across heads (not per-head)
16.8,-0.9428103506565094,-1.616810917854309,0.6740005671977997,-1.384516310005806,0.8666666666666667,lambda0/beta are single scalars shared across heads (not per-head)
16.900000000000002,-0.9417841106653213,-1.616810917854309,0.6750268071889878,-1.3850154817395928,0.877777777777778,lambda0/beta are single scalars shared across heads (not per-head)
17.0,-0.9407578706741333,-1.616810917854309,0.6760530471801758,-1.3855146534733793,0.8888888888888888,lambda0/beta are single scalars shared across heads (not per-head)
17.1,-0.9397316306829453,-1.616810917854309,0.6770792871713638,-1.3860138252071659,0.9000000000000001,lambda0/beta are single scalars shared across heads (not per-head)
17.2,-0.9387053906917572,-1.616810917854309,0.6781055271625519,-1.3865129969409524,0.911111111111111,lambda0/beta are single scalars shared across heads (not per-head)
17.3,-0.9376791507005692,-1.616810917854309,0.6791317671537399,-1.387012168674739,0.9222222222222223,lambda0/beta are single scalars shared across heads (not per-head)
17.400000000000002,-0.9366529107093811,-1.616810917854309,0.680158007144928,-1.3875113404085255,0.9333333333333336,lambda0/beta are single scalars shared across heads (not per-head)
17.5,-0.935626670718193,-1.616810917854309,0.681184247136116,-1.388010512142312,0.9444444444444444,lambda0/beta are single scalars shared across heads (not per-head)
17.6,-0.934600430727005,-1.616810917854309,0.682210487127304,-1.3885096838760986,0.9555555555555557,lambda0/beta are single scalars shared across heads (not per-head)
17.7,-0.9335741907358169,-1.616810917854309,0.6832367271184921,-1.3890088556098852,0.9666666666666666,lambda0/beta are single scalars shared across heads (not per-head)
17.8,-0.9325479507446289,-1.616810917854309,0.6842629671096802,-1.3895080273436717,0.9777777777777779,lambda0/beta are single scalars shared across heads (not per-head)
